country_region_winery
"Italien,Chianti,Maiano"
"Frankrig,Pays d'Oc,Cultura Vini"
"Spanien,Empordà,Blanc Pescador"
"Spanien,Cava,Jaume Serra"
"Spanien,Cava,Codorníu"
"Spanien,Penedès,Cresta Rosa"
"Sydafrika,Western Cape,Game Of Africa"
"Spanien,Cava,Rondel"
"Sydafrika,Western Cape,Massai"
"Italien,Bardolino,Cesari"
"USA,High Valley,Miro"
"Frankrig,Bordeaux,Caves de Rauzan"
"Italien,Sicilia,Giacondi"
"Italien,delle Venezie,Riolite"
"Spanien,Valdepeñas,Félix Solís"
"Spanien,Cava,Freixenet"
"USA,Californien,Barefoot"
"Portugal,Porto,Cockburn's"
"Spanien,Catalunya,Freixenet"
"Spanien,Cava,Marques de Monistrol"
"Italien,Toscana,Caparzo"
"Australien,Sydøstlige Australien,Fox Grove"
"Argentina,Mendoza,Bodega Norton"
"Spanien,Cava,Canals & Nubiola"
"Portugal,Vinho Verde,Aveleda"
"Italien,Chianti,Tenuta Castiglioni"
"Tyskland,Saale-Unstrut,Rotkäppchen"
"Sydafrika,Robertson,Arabella"
"Italien,Sicilia,Stemmari"
"Italien,Montepulciano d'Abruzzo,Farnese"
"Spanien,Rioja Alta,El Coto"
"Italien,Montepulciano d'Abruzzo,Caleo"
"Italien,Puglia,Villa Borghetti"
"Portugal,Lissabon,Portada"
"Italien,Chianti Classico,Borgo Scopeto"
"Portugal,Alentejo,José Maria da Fonseca"
"Spanien,Somontano,Bodega Sommos"
"Italien,Terre Siciliane,Feudi Branciforti dei Bordonaro"
"Spanien,Valdepeñas,Pata Negra"
"Italien,Cirò,Librandi"
"Sydafrika,Coastal Region,MAN"
"Italien,Puglia,Anarkos"
"Spanien,Rioja,Viña Bujanda"
"Italien,Puglia,Vigneti del Salento"
"Italien,Montepulciano d'Abruzzo,Zonin"
"Italien,Toscana,Frescobaldi"
"Italien,Piemonte,Serre dei Roveri"
"Chile,Central Valley,Santa Conchita"
"Spanien,Valencia,Reymos"
"Italien,Terre Siciliane,Alcesti"
"Spanien,Cava,Duc de Foix"
"Italien,Terre Siciliane,Zabu"
"Italien,Terre Siciliane,Caleo"
"Italien,Puglia,Giuseppe"
"Italien,Aglianico del Vulture,Vigneti del Vulture"
"Frankrig,Pays d'Oc,Les Jamelles"
"Spanien,Valle del Cinca,Nuviana"
"Italien,Chianti,Melini"
"Italien,Terre degli Osci,Di Majo Norante"
"Portugal,Lissabon,Paxis"
"Sydafrika,Franschhoek,Franschhoek Cellar"
"Portugal,Vinho Verde,Aliança"
"Frankrig,Pays d'Oc,Paul Mas"
"Spanien,Navarra,Inurrieta"
"Portugal,Vinho Verde,Quinta da Lixa"
"Spanien,Castilla,Condesa de Leganza"
"Frankrig,Côtes du Lot,Château du Cèdre"
"Italien,Puglia,Farnese"
"Italien,Castel del Monte,Rivera"
"Spanien,Rioja,Azabache"
"Portugal,Dão,Vinha Maria"
"Italien,Salice Salentino,Torrevento"
"Italien,Chianti,Buccia Nera"
"Chile,Colchagua Valley,Caliterra"
"Italien,Terre Siciliane,Farnese"
"Italien,Basilicata,Vigneti del Vulture"
"Italien,Nuragus di Cagliari,Cantina di Dolianova"
"Italien,Terre Siciliane,Fina"
"Spanien,Rioja,Finca Mónica"
"Italien,Soave Classico,Cesari"
"Italien,Terre Siciliane,Roccaperciata"
"Chile,Valle de Casablanca,Caliterra"
"Italien,delle Venezie,Villa Rocca"
"Italien,Trentino,Scavi & Ray"
"Italien,Rosso Veronese,Bolla"
"Spanien,Navarra,Bodegas Piedemonte"
"Italien,Verona,Zanettini"
"Italien,Veneto,Villa Rocca"
"Spanien,Rioja,Gran Familia"
"Frankrig,Coteaux de Narbonne,Gérard Bertrand"
"Italien,Montepulciano d'Abruzzo,Villa Rocca"
"Italien,Veneto,La Calla"
"Portugal,Vinho Verde,Casa Agricola de Compostela"
"Spanien,Catalunya,Fortaleza del Rey"
"Tyskland,Pfalz,Karl Pfaffmann"
"Italien,Puglia,Luccarelli"
"Chile,Central Valley,Antares"
"Sydafrika,Stellenbosch,Delheim"
"Italien,Vermentino di Sardegna,Sella & Mosca"
"Italien,Isola dei Nuraghi,Cantina di Dolianova"
"USA,Californien,Salmon Creek"
"Frankrig,Ventoux,Château Pesquie"
"Spanien,Campo de Borja,Borsao Bodegas"
"Argentina,Mendoza,Alamos"
"Portugal,Alentejano,Ciconia"
"Chile,Central Valley,Vistamar"
"Italien,Terre di Chieti,Tombacco"
"Italien,Chianti,Riolite"
"Chile,Central Valley,Santa Alicia"
"Spanien,Catalunya,Altos d'Oliva"
"Italien,Provincia di Pavia,Amodo"
"Italien,Toscana,Barbanera"
"USA,Lodi,Think-Dream-Live Big!"
"Spanien,Ribera del Duero,Mayor de Castilla"
"Spanien,La Mancha,Terra Linda"
"Chile,Valle de Maipo,Santa Alicia"
"Sydafrika,Western Cape,The Secretary Bird"
"Portugal,Alentejano,Segredos de São Miguel"
"Frankrig,Hérault,Moulin de Gassac"
"Italien,Montepulciano d'Abruzzo,Umani Ronchi"
"Frankrig,Pays d'Oc,Moulin de Gassac"
"Frankrig,Pays d'Oc,La Campagne"
"Frankrig,Pays d'Oc,Kjær Sommerfeldt"
"USA,Monterey County,Ranch 32"
"Italien,Terre Siciliane,Barone Montalto"
"Spanien,Rueda,Cuatro Rayas"
"Argentina,Patagonia,Bodega del Fin del Mundo"
"Tyskland,Rheinhessen,Georg Steinmetz"
"Portugal,Vinho Verde,Casal Garcia"
"Italien,Toscana,Piccini"
"Italien,Puglia,Doppio Passo"
"Portugal,Alentejano,Esporão"
"Portugal,Porto,Offley"
"Chile,Rapel-dalen,Casillero del Diablo"
"Spanien,Cava,Pata Negra"
"Spanien,Toro,Matsu"
"Italien,Prosecco di Treviso,Maschio dei Cavalieri"
"Italien,Valpolicella,Zenato"
"Portugal,Porto,Kopke"
"Spanien,Rueda,Marqués de Riscal"
"Chile,Central Valley,Cono Sur"
"Italien,Veneto,Cielo e Terra"
"Spanien,Rioja,Hacienda López de Haro"
"Argentina,Tupungato,Andeluna"
"Spanien,Rioja,Bodegas Faustino"
"Italien,Prosecco di Treviso,Viticoltori Ponte"
"Italien,Prosecco,Villa Teresa"
"Portugal,Lissabon,Casal Garcia"
"Sydafrika,Western Cape,Spier"
"Italien,Toscana,Villa Cavallo"
"Spanien,Rioja,Bodegas Cosme Palacio"
"Spanien,Rioja,Lan"
"Sydafrika,Stellenbosch,Simonsig"
"Spanien,Cava,Segura Viudas"
"Spanien,Jerez-Xérès-Sherry,Sandeman"
"Chile,Central Valley,Santa Rita"
"Australien,Sydøstlige Australien,Rawson's Retreat"
"Italien,Verona,Casalforte"
"Italien,Prosecco di Treviso,Soligo"
"Argentina,Mendoza,Colonia Las Liebres"
"Italien,Terre Siciliane,Cusumano"
"Spanien,Costers del Segre,Raimat"
"Spanien,Rueda,Protos"
"Portugal,Dão,Casa de Santar"
"Australien,McLaren Vale,d'Arenberg"
"Argentina,Tupungato,Domaine Bousquet"
"Italien,Sicilia,Feudo Arancio"
"Italien,Montepulciano d'Abruzzo,Natale Verga"
"Frankrig,Pays d'Oc,JP. Chenet"
"Argentina,San Juan,Bodega Finca Las Moras"
"Spanien,Rías Baixas,Bodegas Martín Códax"
"Spanien,Catalunya,Familia Torres"
"Sydafrika,Western Cape,Two Oceans"
"Portugal,Alentejano,Loios"
"Sydafrika,Stellenbosch,Ken Forrester"
"Frankrig,Pays d'Oc,Arrogant Frog"
