grapes,region,country,winery,rating
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Maiano,3.3
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Cultura Vini,3.1
"[Xarel-lo,Parellada,Trepat,Viura]",Empordà,Spanien,Blanc Pescador,3.4
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.2
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.1
"[Xarel-lo,Parellada,Trepat,Viura]",Penedès,Spanien,Cresta Rosa,3.3
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Western Cape,Sydafrika,Game Of Africa,3.1
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Rondel,3.2
[Pinotage],Western Cape,Sydafrika,Massai,3.7
"[Nebbiolo,Barbera,Dolcetto]",Bardolino,Italien,Cesari,3.3
"[Shiraz/Syrah,Grenache,Mourvedre]",High Valley,USA,Miro,4.1
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Bordeaux,Frankrig,Caves de Rauzan,3.6
"[Malvasia,Fiano,Catarratto Bianco]",Sicilia,Italien,Giacondi,3.8
[Pinot Grigio],delle Venezie,Italien,Riolite,3.7
[Tempranillo],Valdepeñas,Spanien,Félix Solís,4
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6
"[Shiraz/Syrah,Cabernet Sauvignon,Pinot Noir,Sangiovese,Zinfandel,Barbera]",Californien,USA,Barefoot,3.6
"[Touriga Nacional,Tinta Roriz,Tinta Barroca,Souzao,Touriga Francesa]",Porto,Portugal,Cockburn's,3.8
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.8
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Marques de Monistrol,3.4
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Caparzo,3.8
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Fox Grove,3.7
[Malbec],Mendoza,Argentina,Bodega Norton,3.4
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.6
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Canals & Nubiola,3.4
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aveleda,4
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tenuta Castiglioni,3.6
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.1
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2
[Pinotage],Robertson,Sydafrika,Arabella,3.7
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6
[Montepulciano],Montepulciano d'Abruzzo,Italien,Farnese,3.6
[Viura],Rioja Alta,Spanien,El Coto,3.5
[Montepulciano],Montepulciano d'Abruzzo,Italien,Caleo,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Villa Borghetti,3.3
"[Baga,Castelao]",Lissabon,Portugal,Portada,3.8
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti Classico,Italien,Borgo Scopeto,3.7
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,José Maria da Fonseca,3.4
"[Grenache,Tempranillo]",Somontano,Spanien,Bodega Sommos,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Feudi Branciforti dei Bordonaro,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Anarkos,3.8
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.5
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6
[Montepulciano],Montepulciano d'Abruzzo,Italien,Zonin,3.4
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Frescobaldi,3.4
[Barbera],Piemonte,Italien,Serre dei Roveri,3.5
[Cabernet Sauvignon],Central Valley,Chile,Santa Conchita,2.9
"[Malvasia,Fiano,Catarratto Bianco]",Sicilia,Italien,Stemmari,3.7
"[Xarel-lo,Parellada,Trepat,Viura]",Valencia,Spanien,Reymos,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Alcesti,3.6
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Duc de Foix,3.3
[Trebbiano],Toscana,Italien,Frescobaldi,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Caleo,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Giuseppe,3.1
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Aglianico del Vulture,Italien,Vigneti del Vulture,3.8
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9
[Grenache],Pays d'Oc,Frankrig,Les Jamelles,3.8
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.6
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Melini,3.5
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre degli Osci,Italien,Di Majo Norante,3.4
"[Baga,Castelao]",Lissabon,Portugal,Paxis,3.8
[Sauvignon Blanc],Franschhoek,Sydafrika,Franschhoek Cellar,3.6
