grapes,region,country,winery,rating,price,ratings_count,name
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Maiano,3.3,0.8,281,Maiano Chianti Colli Fiorentini 2019
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Le Bertarole,4.1,0.0083333333333333,391,Le Bertarole Ripasso Valpolicella Classico Superiore 2017
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Cultura Vini,3.1,29,316,Cultura Vini Merlot 2020
"[Xarel-lo,Parellada,Trepat,Viura]",Empordà,Spanien,Blanc Pescador,3.4,29.039484167780067,8014,Blanc Pescador Sparkling N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.2,26.06107553518724,4763,Jaume Serra Cava Brut Nature N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.1,29.039484167780067,1227,Codorníu Cava Brut Nature Roger de Flor N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Penedès,Spanien,Cresta Rosa,3.3,28.66718308870596,851,Cresta Rosa Rosé N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Rondel,3.2,25.688774456113133,328,Rondel Cava Oro Semi-Seco N.V.
[Cabernet Sauvignon],Valle de Maipo,Chile,Santa Alicia,3.4,29,3747,Santa Alicia Cabernet Sauvignon Reserva 2018
[Pinotage],Western Cape,Sydafrika,Massai,3.7,28.95,1871,Massai Pinotage 2018
"[Nebbiolo,Barbera,Dolcetto]",Bardolino,Italien,Cesari,3.3,29,969,Cesari Bardolino Classico 2018
"[Shiraz/Syrah,Grenache,Mourvedre]",High Valley,USA,Miro,4.1,21,318,Miro Cuvée Sasha 2016
"[Cabernet Sauvignon,Cabernet Franc,Malbec,Merlot,Petit Verdot,Carménère]",Bordeaux,Frankrig,Caves de Rauzan,3.6,45,156,Caves de Rauzan Château Haut Bascla Bordeaux 2018
"[Malvasia,Fiano,Catarratto Bianco]",Sicilia,Italien,Giacondi,3.8,45,1253,Giacondi Pinot Grigio 2020
[Pinot Grigio],delle Venezie,Italien,Riolite,3.7,39.95,755,Riolite Castel del Lago Pinot Grigio 2021
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6,43.9315273307442,14547,Freixenet Cava Carta Nevada Brut N.V.
"[Shiraz/Syrah,Cabernet Sauvignon,Pinot Noir,Sangiovese,Zinfandel,Barbera]",Californien,USA,Barefoot,3.6,40.878658482336554,14345,Barefoot White Zinfandel N.V.
[Trebbiano],Toscana,Italien,Piccini,3.5,45,5560,Piccini Memoro Bianco N.V.
"[Touriga Nacional,Tinta Roriz,Tinta Barroca,Souzao,Touriga Francesa]",Porto,Portugal,Cockburn's,3.8,45,4600,Cockburn's Special Reserve Port N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.8,42.81462409352189,4508,Freixenet Mia Moscato N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Marques de Monistrol,3.4,44.9,3859,Marques de Monistrol Cava Brut Selección Especial N.V.
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Caparzo,3.8,43.9315273307442,15816,Caparzo Sangiovese Toscana 2019
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Fox Grove,3.7,40.58081761907727,10147,Fox Grove Shiraz - Cabernet Sauvignon 2018
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Canals & Nubiola,3.4,34.25169927481751,2378,Canals & Nubiola Cava Brut N.V.
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.6,43.5592262516701,2378,Freixenet Cava Carta Nevada Premium Semi Dry (Semi-Seco) N.V.
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aveleda,4,44.3038284098183,6490,Aveleda Vinho Verde Fonte 2020
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.1,44.60166927307759,1808,Rotkäppchen Sekt Trocken N.V.
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Poggio Al Casone,3.6,41.69772085629958,9926,Poggio Al Casone Chianti Superiore 2015
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2,37.15564769159552,1575,Rotkäppchen Sekt Halbtrocken N.V.
[Pinotage],Robertson,Sydafrika,Arabella,3.7,44.3038284098183,5101,Arabella Pinotage 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213,11011,Stemmari Nero d'Avola 2019
[Montepulciano],Montepulciano d'Abruzzo,Italien,Farnese,3.6,44.3038284098183,32840,Farnese Fantini Montepulciano d'Abruzzo 2019
[Viura],Rioja Alta,Spanien,El Coto,3.5,44.3038284098183,14646,El Coto Blanco 2021
[Montepulciano],Montepulciano d'Abruzzo,Italien,Caleo,3.4,44.3038284098183,11778,Caleo Montepulciano d'Abruzzo 2013
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Villa Borghetti,3.3,45,1006,Villa Borghetti Lapasso Puglia N.V.
"[Baga,Castelao]",Lissabon,Portugal,Portada,3.8,44.3038284098183,30120,Portada Winemaker's Selection Tinto 2020
"[Baga,Castelao]",Alentejano,Portugal,Loios,3.4,38.95,8310,Loios Tinto 2019
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,José Maria da Fonseca,3.4,44.60166927307759,11983,José Maria da Fonseca Montado Alentejo Tinto 2019
[Malbec],Côtes du Lot,Frankrig,Château du Cèdre,3.4,43.18692517259599,1963,Château du Cèdre Marcel Malbec 2018
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Western Cape,Sydafrika,Game Of Africa,3.1,31.95,627,Game Of Africa Cinsaut - Pinotage N.V.
"[Grenache,Tempranillo]",Somontano,Spanien,Bodega Sommos,3.4,40.95311869815137,3274,Bodega Sommos Glárima Merlot - Tempranillo 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Feudi Branciforti dei Bordonaro,3.6,43.85706711492938,5102,Feudi Branciforti dei Bordonaro Nero d'Avola 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213,11011,Stemmari Nero d'Avola 2020
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.4,41.32541977722548,3179,Pata Negra Valdepeñas Tempranillo Crianza 2016
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4,40.13405632418835,4305,Librandi Cirò Classico Rosso (Segno) 2019
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4,39.83621546092906,4305,Librandi Cirò Classico Rosso (Segno) 2017
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Anarkos,3.8,43.9315273307442,4192,Anarkos Puglia Rosso (Accademia dei Racemi) 2018
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6,44.3038284098183,5894,MAN Chenin Blanc (Free-Run Steen) 2020
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8,43.9315273307442,22572,Vigneti del Salento Primitivo I Muri 2020
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.5,44.3038284098183,1960,Viña Bujanda Tempranillo 2018
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3,44.3038284098183,7691,Pata Negra Valdepeñas Reserva 2013
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6,39.83621546092906,3247,Librandi Cirò Bianco (Segno) 2019
[Montepulciano],Montepulciano d'Abruzzo,Italien,Zonin,3.4,37.15564769159552,10776,Zonin Montepulciano D'Abruzzo 2020
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Frescobaldi,3.4,41.7721810721144,5289,Frescobaldi Pater Sangiovese 2019
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2,44.60166927307759,324,Rotkäppchen Mild Sekt N.V.
"[Malvasia,Fiano,Catarratto Bianco]",Sicilia,Italien,Stemmari,3.7,43.9315273307442,3613,Stemmari Pinot Grigio 2021
[Barbera],Piemonte,Italien,Serre dei Roveri,3.5,43.9315273307442,862,Serre dei Roveri Barbera 2020
[Cabernet Sauvignon],Central Valley,Chile,Santa Conchita,2.9,39.95,299,Santa Conchita Cabernet Sauvignon N.V.
