grapes,region,country,winery,rating,price
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Maiano,3.3,0.8
"[Corvina,Rondinella,Corvinone]",Valpolicella Ripasso Classico,Italien,Le Bertarole,4.1,0.0083333333333333
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Cultura Vini,3.1,29
"[Xarel-lo,Parellada,Trepat,Viura]",Empordà,Spanien,Blanc Pescador,3.4,29.039484167780067
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Jaume Serra,3.2,26.06107553518724
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.1,29.039484167780067
"[Xarel-lo,Parellada,Trepat,Viura]",Penedès,Spanien,Cresta Rosa,3.3,28.66718308870596
"[Shiraz/Syrah,Cabernet Sauvignon,Grenache,Pinotage]",Western Cape,Sydafrika,Game Of Africa,3.1,25.95
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Rondel,3.2,25.688774456113133
[Cabernet Sauvignon],Valle de Maipo,Chile,Santa Alicia,3.4,29
[Pinotage],Western Cape,Sydafrika,Massai,3.7,28.95
"[Nebbiolo,Barbera,Dolcetto]",Bardolino,Italien,Cesari,3.3,29
"[Shiraz/Syrah,Grenache,Mourvedre]",High Valley,USA,Miro,4.1,21
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Freixenet,3.6,43.9315273307442
"[Shiraz/Syrah,Cabernet Sauvignon,Pinot Noir,Sangiovese,Zinfandel,Barbera]",Californien,USA,Barefoot,3.6,40.878658482336554
[Trebbiano],Toscana,Italien,Piccini,3.5,45
"[Touriga Nacional,Tinta Roriz,Tinta Barroca,Souzao,Touriga Francesa]",Porto,Portugal,Cockburn's,3.8,45
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.8,42.81462409352189
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Marques de Monistrol,3.4,44.9
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Caparzo,3.8,43.9315273307442
"[Shiraz/Syrah,Cabernet Sauvignon]",Sydøstlige Australien,Australien,Fox Grove,3.7,40.58081761907727
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Canals & Nubiola,3.4,34.25169927481751
"[Xarel-lo,Parellada,Trepat,Viura]",Catalunya,Spanien,Freixenet,3.6,43.5592262516701
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aveleda,4,44.3038284098183
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Tenuta Castiglioni,3.6,41.32541977722548
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.1,44.60166927307759
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2,37.15564769159552
[Pinotage],Robertson,Sydafrika,Arabella,3.7,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213
[Montepulciano],Montepulciano d'Abruzzo,Italien,Farnese,3.6,44.3038284098183
[Viura],Rioja Alta,Spanien,El Coto,3.5,44.3038284098183
[Montepulciano],Montepulciano d'Abruzzo,Italien,Caleo,3.4,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Villa Borghetti,3.3,45
"[Baga,Castelao]",Lissabon,Portugal,Portada,3.8,44.3038284098183
"[Baga,Castelao]",Alentejano,Portugal,Loios,3.4,38.95
"[Aragonez,Castelao,Trincadeira]",Alentejo,Portugal,José Maria da Fonseca,3.4,44.60166927307759
"[Grenache,Tempranillo]",Somontano,Spanien,Bodega Sommos,3.4,40.95311869815137
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Feudi Branciforti dei Bordonaro,3.6,43.85706711492938
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.4,41.32541977722548
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4,40.13405632418835
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Cirò,Italien,Librandi,3.4,39.83621546092906
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Anarkos,3.8,43.9315273307442
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6,44.3038284098183
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8,43.9315273307442
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Viña Bujanda,3.5,44.3038284098183
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6,39.83621546092906
[Montepulciano],Montepulciano d'Abruzzo,Italien,Zonin,3.4,37.15564769159552
"[Cabernet Sauvignon,Merlot,Sangiovese,Canaiolo Nero]",Toscana,Italien,Frescobaldi,3.4,41.7721810721144
"[Chardonnay,Gewürztraminer,Riesling,Grauburgunder,Silvaner,Kerner,Weissburgunder,Huxelrebe]",Saale-Unstrut,Tyskland,Rotkäppchen,3.2,39.95
"[Malvasia,Fiano,Catarratto Bianco]",Sicilia,Italien,Stemmari,3.7,43.9315273307442
[Cabernet Sauvignon],Central Valley,Chile,Santa Conchita,2.9,39.95
[Barbera],Piemonte,Italien,Serre dei Roveri,3.5,43.9315273307442
"[Xarel-lo,Parellada,Trepat,Viura]",Valencia,Spanien,Reymos,3.6,36.85780682833624
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Duc de Foix,3.3,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Alcesti,3.6,36.85780682833624
[Trebbiano],Toscana,Italien,Frescobaldi,3.5,37.15564769159552
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7,33.50709711666931
"[Malvasia,Fiano,Catarratto Bianco]",Cirò,Italien,Librandi,3.6,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Caleo,3.5,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Giuseppe,3.1,39
[Chenin Blanc],Coastal Region,Sydafrika,MAN,3.6,40.95311869815137
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Aglianico del Vulture,Italien,Vigneti del Vulture,3.8,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,38.71931222370675
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.6,39.09161330278086
[Grenache],Pays d'Oc,Frankrig,Les Jamelles,3.8,43.5592262516701
"[Sangiovese,Trebbiano,Canaiolo Nero,Malvasia Nera]",Chianti,Italien,Melini,3.5,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre degli Osci,Italien,Di Majo Norante,3.4,41.69772085629958
"[Baga,Castelao]",Lissabon,Portugal,Paxis,3.8,44.3038284098183
[Sauvignon Blanc],Franschhoek,Sydafrika,Franschhoek Cellar,3.6,44.67612948889241
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Aliança,3.7,35.36860251203982
"[Shiraz/Syrah,Grenache,Mourvedre]",Pays d'Oc,Frankrig,Paul Mas,3.5,40.20851654000317
[Sauvignon Blanc],Navarra,Spanien,Inurrieta,3.7,43.124874992750314
[Tempranillo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Quinta da Lixa,3.7,36.85780682833624
[Malbec],Côtes du Lot,Frankrig,Château du Cèdre,3.4,44.3038284098183
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Azabache,3.5,39.38945416604014
[Primitivo],Puglia,Italien,Vigneti del Salento,3.8,43.9315273307442
[Touriga Nacional],Dão,Portugal,Vinha Maria,3.7,44.15490797818866
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,41.32541977722548
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Salice Salentino,Italien,Torrevento,3.5,44.60166927307759
"[Malvasia,Fiano,Catarratto Bianco]",Sannio,Italien,Mastroberardino,3.5,44.08044776237384
[Pinotage],Coastal Region,Sydafrika,MAN,3.6,44.60166927307759
[Cabernet Sauvignon],Colchagua Valley,Chile,Caliterra,3.4,40.878658482336554
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,40.95311869815137
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Basilicata,Italien,Vigneti del Vulture,3.9,43.9315273307442
[Sauvignon Blanc],Central Valley,Chile,Santa Conchita,3,39
[Tempranillo],Valdepeñas,Spanien,Pata Negra,3.3,36.85780682833624
"[Malvasia,Fiano,Catarratto Bianco]",Nuragus di Cagliari,Italien,Cantina di Dolianova,3.4,40.95311869815137
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Giuseppe,3.2,39
"[Grenache,Tempranillo]",Valle del Cinca,Spanien,Nuviana,3.1,39.09161330278086
[Sauvignon Blanc],Colchagua Valley,Chile,Caliterra,3.5,40.95311869815137
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Finca Mónica,3.4,43.9315273307442
"[Trebbiano,Garganega]",Soave Classico,Italien,Cesari,3.4,45
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Roccaperciata,3.6,44.60166927307759
[Chardonnay],Valle del Cinca,Spanien,Nuviana,3.6,36.85780682833624
[Chardonnay],Valle de Casablanca,Chile,Caliterra,3.4,43.9315273307442
[Pinot Grigio],delle Venezie,Italien,Villa Rocca,3.7,43.18692517259599
"[Nebbiolo,Barbera,Dolcetto]",Piemonte,Italien,Cascina Radice,3.5,45
"[Xarel-lo,Parellada,Trepat,Viura]",Cava,Spanien,Codorníu,3.3,37.25
"[Arneis,Pinot Blanc,Cortese,Tocai Friulano]",Trentino,Italien,Scavi & Ray,2.8,33.50709711666931
"[Malvasia,Fernao Pires]",Lissabon,Portugal,Portada,3.9,44.3038284098183
"[Nebbiolo,Barbera,Dolcetto]",Rosso Veronese,Italien,Bolla,3.5,44.60166927307759
"[Grenache,Tempranillo]",Navarra,Spanien,Bodegas Piedemonte,3.4,44.3038284098183
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Sicilia,Italien,Stemmari,3.6,36.48550574926213
"[Nebbiolo,Barbera,Dolcetto]",Verona,Italien,Zanettini,3.6,45
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,Villa Rocca,3.4,44.3038284098183
"[Tempranillo,Graciano,Garnacha]",Rioja,Spanien,Gran Familia,3.6,43.18692517259599
[Cabernet Sauvignon],Coastal Region,Sydafrika,MAN,3.5,40.95311869815137
[Montepulciano],Montepulciano d'Abruzzo,Italien,Villa Rocca,3.5,44.3038284098183
"[Grenache Blanc,Bourboulenc]",Pays d'Oc,Frankrig,Paul Mas,3.7,40.95311869815137
"[Shiraz/Syrah,Grenache,Mourvedre]",Coteaux de Narbonne,Frankrig,Gérard Bertrand,3.5,39
[Pinot Grigio],delle Venezie,Italien,Riolite,3.7,39.95
"[Grenache,Tempranillo]",Navarra,Spanien,Inurrieta,3.5,43.9315273307442
"[Nebbiolo,Barbera,Dolcetto]",Veneto,Italien,La Calla,4,39
"[Arinto de Bucelas,Loureiro,Alvarinho,Azal,Avesso,Batoca]",Vinho Verde,Portugal,Casa Agricola de Compostela,3.6,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Zabu,3.6,40.20851654000317
[Tempranillo],Catalunya,Spanien,Fortaleza del Rey,3,45
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Luccarelli,3.8,43.5592262516701
"[Trebbiano,Garganega]",Soave,Italien,I Prandi,3.6,39.91
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Roccaperciata,3.4,44.15490797818866
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Zabu,3.7,36.85780682833624
[Cabernet Franc],British Columbia,Canada,Fort Berens Estate Winery,3.8,31.99
[Verdejo],Castilla,Spanien,Condesa de Leganza,3.4,39.46391438185496
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Terre Siciliane,Italien,Tenute Orestiadi,3.7,41.3998799930403
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Puglia,Italien,Vigneti del Salento,3.9,43.18692517259599
[Merlot],Central Valley,Chile,Antares,3.1,36.48550574926213
"[Malvasia,Fiano,Catarratto Bianco]",Terre Siciliane,Italien,Farnese,3.5,44.3038284098183
"[Malvasia,Fiano,Catarratto Bianco]",Puglia,Italien,Vigneti del Salento,3.7,43.85706711492938
"[Shiraz/Syrah,Cabernet Sauvignon]",Stellenbosch,Sydafrika,Delheim,3.5,43.11519543028343
"[Malvasia,Fiano,Catarratto Bianco]",Vermentino di Sardegna,Italien,Sella & Mosca,3.4,43.9315273307442
"[Primitivo,Aglianico,Negroamaro,Nero d'Avola]",Castel del Monte,Italien,Rivera,3.4,43.9315273307442
[Chardonnay],Californien,USA,Salmon Creek,3.4,44.3038284098183
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59
[Grenache],Campo de Borja,Spanien,Borsao Bodegas,3.5,59
[Carménère],Central Valley,Chile,Vistamar,3.3,49.95
[Torrontés],Mendoza,Argentina,Bodega Norton,3.4,49
[Sauvignon Blanc],Mendoza,Argentina,Bodega Norton,3.3,49
